Appliances,lights,T1,RH_1,T2
60,30,19.89,47.5966666666667,19.2
60,30,19.89,46.6933333333333,19.2
50,30,19.89,46.3,19.2
50,40,19.89,46.0666666666667,19.2
60,40,19.89,46.3333333333333,19.2
50,40,19.89,46.0266666666667,19.2
60,50,19.89,45.7666666666667,19.2
60,50,19.856666666666698,45.56,19.2
60,40,19.79,45.5975,19.2
70,40,19.856666666666698,46.09,19.23
230,70,19.926666666666698,45.8633333333333,19.356666666666698
580,60,20.066666666666695,46.3966666666667,19.426666666666698
430,50,20.1333333333333,48.0,19.566666666666695
250,40,20.26,52.726666666666695,19.73
100,10,20.426666666666698,55.8933333333333,19.856666666666698
100,10,20.566666666666695,53.8933333333333,20.033333333333296
90,10,20.73,52.66,20.1666666666667
70,30,20.856666666666698,53.66,20.2
80,30,20.89,51.1933333333333,20.2
140,40,20.89,49.8,20.2
120,20,20.89,48.4333333333333,20.2
190,40,20.963333333333296,47.633333333333304,20.26
110,40,21.033333333333296,47.063333333333304,20.29
110,40,21.1,46.5966666666667,20.356666666666698
110,30,21.1333333333333,46.06,20.426666666666698
110,20,21.2,45.8,20.5
100,30,21.29,45.9,20.533333333333296
100,20,21.356666666666698,45.826666666666696,20.6666666666667
100,20,21.39,45.69,20.7
100,20,21.5,45.3333333333333,20.7
110,20,21.5,45.1266666666667,20.79
400,20,21.533333333333296,44.9666666666667,20.79
400,20,21.6,44.7666666666667,20.89
390,30,21.6,44.56,20.963333333333296
240,20,21.6,44.36,21.0
60,20,21.6,44.2,21.0
60,20,21.6,44.2,21.0
60,20,21.6,44.2,21.0
50,10,21.6,44.2,21.0
70,20,21.5,44.23,20.926666666666698
60,20,21.5,44.3633333333333,20.89
40,20,21.39,44.4333333333333,20.79
40,10,21.39,44.56,20.79
30,20,21.29,44.826666666666696,20.7
40,20,21.29,44.9666666666667,20.6333333333333
50,20,21.26,45.09,20.6
310,10,21.2,45.09,20.6
380,20,21.1666666666667,45.23,20.5
380,20,21.075,45.3725,20.5
370,20,21.0,45.4,20.39
120,10,21.0,45.59,20.39
50,0,20.926666666666698,45.59,20.29
40,0,20.89,45.6666666666667,20.23
50,0,20.89,46.06,20.2
40,0,20.79,46.2,20.2
50,0,20.79,46.2,20.1
50,0,20.7,46.26,20.1
