Appliances,lights,T1,RH_1
60,30,19.89,47.5966666666667
60,30,19.89,46.6933333333333
50,30,19.89,46.3
50,40,19.89,46.0666666666667
60,40,19.89,46.3333333333333
50,40,19.89,46.0266666666667
60,50,19.89,45.7666666666667
60,50,19.856666666666698,45.56
60,40,19.79,45.5975
70,40,19.856666666666698,46.09
230,70,19.926666666666698,45.8633333333333
580,60,20.066666666666695,46.3966666666667
430,50,20.1333333333333,48.0
250,40,20.26,52.726666666666695
100,10,20.426666666666698,55.8933333333333
100,10,20.566666666666695,53.8933333333333
90,10,20.73,52.66
70,30,20.856666666666698,53.66
80,30,20.89,51.1933333333333
140,40,20.89,49.8
120,20,20.89,48.4333333333333
190,40,20.963333333333296,47.633333333333304
110,40,21.033333333333296,47.063333333333304
110,40,21.1,46.5966666666667
110,30,21.1333333333333,46.06
110,20,21.2,45.8
100,30,21.29,45.9
100,20,21.356666666666698,45.826666666666696
100,20,21.39,45.69
100,20,21.5,45.3333333333333
110,20,21.5,45.1266666666667
400,20,21.533333333333296,44.9666666666667
400,20,21.6,44.7666666666667
390,30,21.6,44.56
240,20,21.6,44.36
60,20,21.6,44.2
60,20,21.6,44.2
60,20,21.6,44.2
50,10,21.6,44.2
70,20,21.5,44.23
60,20,21.5,44.3633333333333
40,20,21.39,44.4333333333333
40,10,21.39,44.56
30,20,21.29,44.826666666666696
40,20,21.29,44.9666666666667
50,20,21.26,45.09
310,10,21.2,45.09
380,20,21.1666666666667,45.23
380,20,21.075,45.3725
370,20,21.0,45.4
120,10,21.0,45.59
50,0,20.926666666666698,45.59
40,0,20.89,45.6666666666667
50,0,20.89,46.06
40,0,20.79,46.2
50,0,20.79,46.2
50,0,20.7,46.26
50,0,20.7,46.2
40,0,20.6,46.2
40,0,20.6,46.1266666666667
30,0,20.566666666666695,46.0666666666667
20,0,20.5,46.2
20,0,20.5,46.29
40,0,20.426666666666698,46.23
50,0,20.39,46.29
50,0,20.39,46.3633333333333
40,0,20.29,46.5
50,0,20.29,46.545
40,0,20.23,46.5
40,0,20.2,46.4333333333333
40,0,20.2,46.56
60,0,20.1666666666667,46.3633333333333
50,0,20.1,46.3633333333333
50,0,20.1,46.5
40,0,20.033333333333296,46.36
40,0,20.0,46.29
40,0,20.0,46.29
40,0,20.0,46.23
50,0,19.926666666666698,46.23
70,10,19.89,46.23
40,0,19.89,46.43
30,0,19.89,46.6266666666667
20,10,19.89,46.7
30,0,19.89,46.8633333333333
40,10,19.823333333333295,46.8633333333333
50,10,19.856666666666698,46.93
60,20,19.79,46.79
60,20,19.79,46.895
70,20,19.79,47.4266666666667
60,30,19.79,48.366666666666696
140,20,19.79,48.6666666666667
110,30,19.79,48.5333333333333
90,10,19.89,50.0
60,0,19.89,48.7333333333333
60,0,19.89,48.0266666666667
60,0,19.89,47.633333333333304
50,0,19.856666666666698,47.063333333333304
60,0,19.79,46.6566666666667
50,0,19.79,46.3333333333333
30,0,19.79,46.0666666666667
40,0,19.76,45.8633333333333
30,0,19.7,45.79
260,0,19.7,45.6633333333333
500,0,19.7,45.59
450,0,19.73,47.7933333333333
50,10,19.79,48.7933333333333
60,0,19.89,47.94
60,0,19.89,47.16
50,0,19.89,46.7666666666667
50,0,20.0,46.296666666666695
50,0,20.0,45.9633333333333
60,0,20.0,46.2233333333333
60,0,20.0,45.9633333333333
60,0,20.0,45.7233333333333
60,0,20.0,45.6633333333333
190,0,20.033333333333296,45.5
220,0,20.1,45.6933333333333
170,0,20.1,45.4
390,0,20.1,45.326666666666696
90,0,20.1,45.326666666666696
60,0,20.1666666666667,46.993333333333304
290,0,20.1,46.43
130,0,20.1,46.03
140,0,20.066666666666695,45.3633333333333
240,0,20.0,44.9633333333333
50,0,20.0,44.76
60,0,20.0,44.595
60,0,20.0,44.4333333333333
60,0,20.0,44.26
370,0,20.0,44.2
200,0,20.0,44.06
70,0,20.0,44.06
50,0,20.0,44.09
40,0,20.0,44.03
40,0,19.963333333333296,43.9
30,0,19.963333333333296,43.9
30,0,20.0,43.8633333333333
30,0,20.066666666666695,43.8633333333333
30,0,20.1,43.79
40,0,20.1,43.73
50,0,20.1,43.56
40,0,20.1,43.4333333333333
40,0,20.1,43.1633333333333
40,0,20.1,43.03
60,0,20.066666666666695,42.8333333333333
60,10,20.0,42.6725
210,20,20.0,42.53
380,20,20.033333333333296,43.4966666666667
370,40,20.033333333333296,42.9633333333333
230,30,20.0,43.16
80,40,20.0,43.9
90,30,20.0,43.7
70,20,20.0,43.76
40,10,20.033333333333296,44.0
40,0,20.1,44.26
30,0,20.1,44.2
50,0,20.1,44.1266666666667
50,0,20.1,44.06
