Appliances,lights,T1
60,30,19.89
60,30,19.89
50,30,19.89
50,40,19.89
60,40,19.89
50,40,19.89
60,50,19.89
60,50,19.856666666666698
60,40,19.79
70,40,19.856666666666698
230,70,19.926666666666698
580,60,20.066666666666695
430,50,20.1333333333333
250,40,20.26
100,10,20.426666666666698
100,10,20.566666666666695
90,10,20.73
70,30,20.856666666666698
80,30,20.89
140,40,20.89
120,20,20.89
190,40,20.963333333333296
110,40,21.033333333333296
110,40,21.1
110,30,21.1333333333333
110,20,21.2
100,30,21.29
100,20,21.356666666666698
100,20,21.39
100,20,21.5
110,20,21.5
400,20,21.533333333333296
400,20,21.6
390,30,21.6
240,20,21.6
60,20,21.6
60,20,21.6
60,20,21.6
50,10,21.6
70,20,21.5
60,20,21.5
40,20,21.39
40,10,21.39
30,20,21.29
40,20,21.29
50,20,21.26
310,10,21.2
380,20,21.1666666666667
380,20,21.075
370,20,21.0
120,10,21.0
50,0,20.926666666666698
40,0,20.89
50,0,20.89
40,0,20.79
50,0,20.79
50,0,20.7
50,0,20.7
40,0,20.6
40,0,20.6
30,0,20.566666666666695
20,0,20.5
20,0,20.5
40,0,20.426666666666698
50,0,20.39
50,0,20.39
40,0,20.29
50,0,20.29
40,0,20.23
40,0,20.2
40,0,20.2
60,0,20.1666666666667
50,0,20.1
50,0,20.1
40,0,20.033333333333296
40,0,20.0
40,0,20.0
40,0,20.0
50,0,19.926666666666698
70,10,19.89
40,0,19.89
30,0,19.89
20,10,19.89
30,0,19.89
40,10,19.823333333333295
50,10,19.856666666666698
60,20,19.79
60,20,19.79
70,20,19.79
60,30,19.79
140,20,19.79
110,30,19.79
90,10,19.89
60,0,19.89
60,0,19.89
60,0,19.89
50,0,19.856666666666698
60,0,19.79
50,0,19.79
30,0,19.79
40,0,19.76
30,0,19.7
260,0,19.7
500,0,19.7
450,0,19.73
50,10,19.79
60,0,19.89
60,0,19.89
50,0,19.89
50,0,20.0
50,0,20.0
60,0,20.0
60,0,20.0
60,0,20.0
60,0,20.0
190,0,20.033333333333296
220,0,20.1
170,0,20.1
390,0,20.1
90,0,20.1
60,0,20.1666666666667
290,0,20.1
130,0,20.1
140,0,20.066666666666695
240,0,20.0
