LIMIT_BAL,SEX,PAY_0,PAY_2,PAY_3
20000,2,2,2,-1
120000,2,-1,2,0
90000,2,0,0,0
50000,2,0,0,0
50000,1,-1,0,-1
50000,1,0,0,0
500000,1,0,0,0
100000,2,0,-1,-1
140000,2,0,0,2
20000,1,-2,-2,-2
200000,2,0,0,2
260000,2,-1,-1,-1
630000,2,-1,0,-1
70000,1,1,2,2
250000,1,0,0,0
50000,2,1,2,0
20000,1,0,0,2
320000,1,0,0,0
360000,2,1,-2,-2
180000,2,1,-2,-2
130000,2,0,0,0
120000,2,-1,-1,-1
70000,2,2,0,0
450000,2,-2,-2,-2
90000,1,0,0,0
50000,1,0,0,0
60000,1,1,-2,-1
50000,2,0,0,0
50000,2,-1,-1,-1
50000,1,0,0,0
230000,2,-1,-1,-1
50000,1,2,0,0
100000,1,0,0,0
500000,2,-2,-2,-2
500000,1,-2,-2,-2
160000,1,-1,-1,-2
280000,1,0,0,0
60000,2,0,0,0
50000,1,1,-1,-1
280000,1,-1,-1,2
360000,1,0,0,0
70000,2,0,0,0
10000,1,0,0,0
140000,2,0,0,0
40000,2,0,0,0
210000,1,-2,-2,-2
20000,2,0,0,2
150000,2,0,0,-1
380000,1,-1,-1,-1
20000,1,0,0,0
70000,1,1,2,2
100000,2,0,0,0
310000,2,-2,-2,-2
180000,2,1,2,0
150000,2,2,0,0
500000,2,-2,-2,-2
180000,2,0,0,0
180000,2,0,0,0
200000,2,-1,3,2
400000,2,0,0,0
500000,2,0,0,0
70000,1,0,0,0
50000,1,2,2,2
50000,2,0,0,0
130000,2,-1,-1,-2
200000,1,-2,-2,-2
10000,1,2,2,2
210000,2,2,-1,-1
130000,2,1,-2,-2
20000,1,2,0,0
80000,1,-1,-1,-1
320000,1,2,2,2
200000,2,-1,-1,-1
290000,2,1,-2,-1
340000,1,-1,-1,-1
20000,1,0,0,2
50000,1,-1,0,0
300000,2,-1,-1,-1
30000,2,0,0,0
240000,2,1,-2,-2
470000,2,0,0,0
360000,2,0,0,0
60000,1,0,0,0
400000,2,0,0,2
50000,2,0,0,0
160000,1,0,0,0
360000,2,-1,-1,2
160000,2,0,0,0
130000,2,0,0,0
20000,1,2,2,0
200000,1,2,2,2
280000,2,-1,-1,-1
100000,2,-2,-2,-2
160000,2,-1,-1,-1
60000,2,0,0,0
90000,1,0,0,0
360000,1,-1,-1,-1
150000,1,0,0,0
50000,2,0,0,0
20000,1,0,0,0
140000,1,-2,-2,-2
380000,2,-2,-2,-1
480000,1,0,0,0
50000,2,0,0,0
60000,2,2,2,2
70000,2,-1,-1,-2
80000,2,-1,-1,-1
350000,1,-1,-1,-1
130000,1,0,0,0
360000,1,1,-2,-2
330000,2,0,0,2
50000,1,0,0,2
280000,1,2,2,2
100000,2,0,0,0
50000,1,0,0,0
30000,1,-1,2,0
240000,1,-1,-1,-1
80000,1,2,0,0
400000,1,-1,-1,-1
240000,2,0,0,0
50000,1,2,2,2
450000,1,1,-2,-2
110000,2,1,-2,-2
310000,2,2,0,0
20000,1,0,0,0
20000,1,1,-2,-2
200000,1,0,0,0
180000,1,0,0,0
50000,1,0,0,0
60000,1,3,2,2
30000,2,1,-2,-2
240000,1,1,-1,-1
420000,1,0,0,0
330000,1,0,0,0
30000,2,0,0,0
240000,1,0,0,0
150000,1,0,0,0
210000,2,0,0,0
50000,2,-1,-1,-1
50000,1,0,0,0
240000,1,1,-2,-2
180000,1,-1,-1,-1
50000,1,1,2,2
170000,1,-2,-2,-2
20000,1,-1,-1,-1
50000,1,0,0,0
170000,2,0,0,0
200000,1,1,2,0
80000,2,1,2,3
260000,2,1,-2,-1
140000,1,0,0,0
80000,1,0,0,0
350000,1,1,-1,-1
280000,2,0,0,0
30000,2,0,0,0
140000,1,0,0,0
200000,2,0,0,0
200000,2,0,0,0
210000,1,2,3,4
50000,1,3,2,0
30000,1,2,2,2
50000,1,2,-1,-1
290000,1,-1,-1,-1
250000,2,0,0,2
60000,2,0,0,0
110000,2,0,0,0
370000,1,-2,-2,-2
100000,1,-1,2,2
90000,2,0,0,0
50000,2,0,0,0
270000,1,0,0,0
300000,2,-1,-1,-1
50000,2,-1,0,0
50000,2,1,-2,-2
360000,1,1,-2,-1
130000,1,1,2,2
80000,1,-2,-1,0
50000,1,1,2,0
20000,2,0,0,0
80000,2,0,0,2
240000,1,-1,-1,2
80000,2,0,-1,0
500000,2,0,0,0
60000,2,0,0,0
20000,1,0,0,0
100000,2,1,2,0
360000,2,1,-1,-1
200000,2,2,2,2
130000,2,1,-1,0
20000,2,1,5,4
310000,1,0,0,0
60000,2,2,0,0
180000,2,-1,-1,-1
180000,2,-1,-1,2
50000,1,0,0,0
50000,2,1,2,2
150000,2,-2,-2,-2
20000,2,0,0,0
500000,2,-2,-2,-2
30000,2,1,2,2
180000,2,-2,-2,-2
140000,1,0,0,2
140000,2,-1,0,-1
120000,1,0,0,0
360000,2,0,0,0
20000,1,-1,-1,0
100000,1,-1,-1,-1
210000,2,-1,-1,-1
80000,2,0,0,0
330000,2,-1,-1,-1
220000,1,0,0,0
210000,2,1,-2,-1
40000,2,0,0,0
30000,1,0,0,0
470000,1,2,2,2
30000,1,-1,-1,-1
240000,2,1,-2,-2
80000,1,2,0,0
110000,2,0,0,0
310000,2,-1,-1,-1
360000,2,2,2,2
330000,2,0,0,0
300000,2,0,0,0
320000,2,0,0,0
50000,2,1,3,2
170000,2,0,0,0
350000,1,-1,-1,-1
20000,1,0,0,0
50000,1,2,0,0
20000,2,1,2,0
50000,2,0,0,0
20000,1,1,2,0
50000,1,0,0,-2
190000,1,2,0,0
60000,2,0,0,0
80000,1,-1,-1,-1
150000,2,0,0,0
210000,2,-2,-2,-2
240000,2,0,0,0
140000,2,0,0,0
