Appliances,lights,Windspeed,Visibility
60,30,7.0,63.0
60,30,6.6666666666666705,59.1666666666667
50,30,6.3333333333333295,55.3333333333333
50,40,6.0,51.5
60,40,5.66666666666667,47.66666666666669
50,40,5.3333333333333295,43.8333333333333
60,50,5.0,40.0
60,50,5.16666666666667,40.0
60,40,5.3333333333333295,40.0
70,40,5.5,40.0
230,70,5.66666666666667,40.0
580,60,5.8333333333333295,40.0
430,50,6.0,40.0
250,40,6.0,40.0
100,10,6.0,40.0
100,10,6.0,40.0
90,10,6.0,40.0
70,30,6.0,40.0
80,30,6.0,40.0
140,40,6.0,40.0
120,20,6.0,40.0
190,40,6.0,40.0
110,40,6.0,40.0
110,40,6.0,40.0
110,30,6.0,40.0
110,20,6.0,40.0
100,30,6.0,40.0
100,20,6.0,40.0
100,20,6.0,40.0
100,20,6.0,40.0
110,20,6.0,40.0
400,20,6.1666666666666705,40.0
400,20,6.3333333333333295,40.0
390,30,6.5,40.0
240,20,6.6666666666666705,40.0
60,20,6.8333333333333295,40.0
60,20,7.0,40.0
60,20,6.8333333333333295,37.0
50,10,6.6666666666666705,34.0
70,20,6.5,31.0
60,20,6.3333333333333295,28.0
40,20,6.1666666666666705,25.0
40,10,6.0,22.0
30,20,6.0,25.0
40,20,6.0,28.0
50,20,6.0,31.0
310,10,6.0,34.0
380,20,6.0,37.0
380,20,6.0,40.0
370,20,5.8333333333333295,40.0
120,10,5.66666666666667,40.0
50,0,5.5,40.0
40,0,5.3333333333333295,40.0
50,0,5.16666666666667,40.0
40,0,5.0,40.0
50,0,4.8333333333333295,40.0
50,0,4.66666666666667,40.0
50,0,4.5,40.0
40,0,4.3333333333333295,40.0
40,0,4.16666666666667,40.0
30,0,4.0,40.0
20,0,4.3333333333333295,40.0
20,0,4.66666666666667,40.0
40,0,5.0,40.0
50,0,5.3333333333333295,40.0
50,0,5.66666666666667,40.0
40,0,6.0,40.0
50,0,5.8333333333333295,40.0
40,0,5.66666666666667,40.0
40,0,5.5,40.0
40,0,5.3333333333333295,40.0
60,0,5.16666666666667,40.0
50,0,5.0,40.0
50,0,4.8333333333333295,40.0
40,0,4.66666666666667,40.0
40,0,4.5,40.0
40,0,4.3333333333333295,40.0
40,0,4.16666666666667,40.0
50,0,4.0,40.0
70,10,4.16666666666667,38.16666666666669
40,0,4.3333333333333295,36.3333333333333
30,0,4.5,34.5
20,10,4.66666666666667,32.66666666666669
30,0,4.8333333333333295,30.8333333333333
40,10,5.0,29.0
50,10,5.0,30.8333333333333
60,20,5.0,32.66666666666669
60,20,5.0,34.5
70,20,5.0,36.3333333333333
60,30,5.0,38.16666666666669
140,20,5.0,40.0
110,30,5.0,40.0
90,10,5.0,40.0
60,0,5.0,40.0
60,0,5.0,40.0
60,0,5.0,40.0
50,0,5.0,40.0
60,0,5.0,38.16666666666669
50,0,5.0,36.3333333333333
30,0,5.0,34.5
40,0,5.0,32.66666666666669
30,0,5.0,30.8333333333333
260,0,5.0,29.0
500,0,5.0,30.8333333333333
450,0,5.0,32.66666666666669
50,10,5.0,34.5
60,0,5.0,36.3333333333333
60,0,5.0,38.16666666666669
50,0,5.0,40.0
50,0,5.3333333333333295,38.0
50,0,5.66666666666667,36.0
60,0,6.0,34.0
60,0,6.3333333333333295,32.0
60,0,6.6666666666666705,30.0
60,0,7.0,28.0
190,0,7.0,30.0
220,0,7.0,32.0
170,0,7.0,34.0
390,0,7.0,36.0
90,0,7.0,38.0
60,0,7.0,40.0
290,0,7.1666666666666705,40.0
130,0,7.3333333333333295,40.0
140,0,7.5,40.0
240,0,7.666666666666669,40.0
50,0,7.8333333333333295,40.0
60,0,8.0,40.0
60,0,7.5,40.0
60,0,7.0,40.0
370,0,6.5,40.0
200,0,6.0,40.0
70,0,5.5,40.0
50,0,5.0,40.0
40,0,4.8333333333333295,40.0
40,0,4.66666666666667,40.0
30,0,4.5,40.0
30,0,4.3333333333333295,40.0
30,0,4.16666666666667,40.0
30,0,4.0,40.0
40,0,4.5,38.16666666666669
50,0,5.0,36.3333333333333
40,0,5.5,34.5
40,0,6.0,32.66666666666669
40,0,6.5,30.8333333333333
60,0,7.0,29.0
60,10,7.0,30.8333333333333
210,20,7.0,32.66666666666669
380,20,7.0,34.5
370,40,7.0,36.3333333333333
230,30,7.0,38.16666666666669
80,40,7.0,40.0
90,30,6.8333333333333295,40.0
70,20,6.6666666666666705,40.0
40,10,6.5,40.0
40,0,6.3333333333333295,40.0
30,0,6.1666666666666705,40.0
50,0,6.0,40.0
50,0,6.1666666666666705,40.0
60,0,6.3333333333333295,40.0
50,0,6.5,40.0
60,0,6.6666666666666705,40.0
60,0,6.8333333333333295,40.0
60,0,7.0,40.0
50,0,6.8333333333333295,40.0
50,0,6.6666666666666705,40.0
50,0,6.5,40.0
50,0,6.3333333333333295,40.0
50,0,6.1666666666666705,40.0
60,0,6.0,40.0
60,0,6.1666666666666705,38.16666666666669
40,0,6.3333333333333295,36.3333333333333
30,0,6.5,34.5
30,20,6.6666666666666705,32.66666666666669
